language,metric,mean,se,ci95_low,ci95_high,n
english,response_avg_logp,-0.19391610900520417,0.030129177230135584,-0.2529692963762699,-0.13486292163413843,80
english,response_avg_logp_per_char,-0.03791611820196226,0.005864520047665374,-0.04941057749538639,-0.026421658908538127,80
english,response_perplexity,1.6388131163337014,0.06905405173081051,1.5034671749413129,1.77415905772609,33
english,response_avg_logit_gap,2.3718106669630687,0.33192354842939725,1.72124051204145,3.0223808218846875,80
english,accuracy,0.75,0.04841229182759271,0.6551119080179183,0.8448880919820817,80
german,response_avg_logp,-0.26616392029482017,0.03836081723903056,-0.3413511220833201,-0.19097671850632028,80
german,response_avg_logp_per_char,-0.06442785439049814,0.009334418366691083,-0.08272331438921265,-0.04613239439178362,80
german,response_perplexity,1.9169545243768131,0.07604678554998447,1.7679028246988435,2.0660062240547825,34
german,response_avg_logit_gap,2.118472622011587,0.2944363142007823,1.5413774461780534,2.6955677978451202,80
german,accuracy,0.6375,0.05374636615623423,0.5321571223337809,0.742842877666219,80
french,response_avg_logp,-0.2054822283945749,0.0327648864940252,-0.2697014059228643,-0.1412630508662855,80
french,response_avg_logp_per_char,-0.046490578385470424,0.00754783743087474,-0.061284339749984915,-0.031696817020955934,80
french,response_perplexity,1.764537481466929,0.0679700596721156,1.6313161645095824,1.8977587984242756,30
french,response_avg_logit_gap,1.9258817793132756,0.29014345464799757,1.3572006082032004,2.494562950423351,80
french,accuracy,0.625,0.05412658773652741,0.5189118880364063,0.7310881119635937,80
spanish,response_avg_logp,-0.14201503426659712,0.027475147520413905,-0.19586632340660837,-0.08816374512658587,80
spanish,response_avg_logp_per_char,-0.03305084230063749,0.006376594327589893,-0.04554896718271368,-0.020552717418561302,80
spanish,response_perplexity,1.6673919999081155,0.0685188976846158,1.5330949604462685,1.8016890393699625,23
spanish,response_avg_logit_gap,1.584579560598887,0.2921185533896826,1.0120271959551093,2.157131925242665,80
spanish,accuracy,0.625,0.05412658773652741,0.5189118880364063,0.7310881119635937,80
polish,response_avg_logp,-0.4475508953219006,0.04637044391455188,-0.5384369653944223,-0.3566648252493789,80
polish,response_avg_logp_per_char,-0.12668104039597222,0.013438357978950407,-0.15302022203471502,-0.10034185875722942,80
polish,response_perplexity,2.1744948476552963,0.08115927202249362,2.0154226744912087,2.333567020819384,48
polish,response_avg_logit_gap,2.7856036363179832,0.2776221838578308,2.241464155956635,3.3297431166793316,80
polish,accuracy,0.6125,0.054468310741200704,0.5057421109472466,0.7192578890527535,80
danish,response_avg_logp,-0.2792127959498478,0.04732184150558751,-0.37196360530079936,-0.1864619865988963,80
danish,response_avg_logp_per_char,-0.07224081191994827,0.01227362279713865,-0.09629711260234003,-0.048184511237556515,80
danish,response_perplexity,2.325360174689974,0.1373064625822242,2.0562395080288143,2.5944808413511335,28
danish,response_avg_logit_gap,1.5833867112380333,0.26088205712733586,1.072057879268455,2.0947155432076117,80
danish,accuracy,0.5875,0.05503904863821685,0.479623464669095,0.695376535330905,80
turkish,response_avg_logp,-0.3277325048961205,0.04863817614861012,-0.42306333014739633,-0.23240167964484465,80
turkish,response_avg_logp_per_char,-0.08675766359387008,0.013297520937236913,-0.11282080463085442,-0.060694522556885726,80
turkish,response_perplexity,2.3405786752700806,0.10214829579727149,2.1403680155074283,2.540789335032733,32
turkish,response_avg_logit_gap,1.603893770425863,0.24038675126093897,1.1327357379544225,2.0750518028973035,80
turkish,accuracy,0.5875,0.05503904863821685,0.479623464669095,0.695376535330905,80
